time,yaw_000,induction_000,pitch_000,torque_000,tsr_000,force_x_000,force_y_000,power_000,velocity_x_000,velocity_y_000,ud_000,kernel_000,yaw_001,induction_001,pitch_001,torque_001,tsr_001,force_x_001,force_y_001,power_001,velocity_x_001,velocity_y_001,ud_001,kernel_001,yaw_002,induction_002,pitch_002,torque_002,tsr_002,force_x_002,force_y_002,power_002,velocity_x_002,velocity_y_002,ud_002,kernel_002
1.000000,270.000000,0.330000,0.000000,0.000000,0.000000,2069504.030172,270.000000,11369855.141766,8.550854,0.000000,8.550854,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,2077057.096032,270.000000,11411351.685599,8.582062,0.000000,8.582062,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,2068709.528108,270.000000,11365490.147424,8.547571,0.000000,8.547571,1.042387
2.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1769786.676199,270.000000,9038727.206992,7.893591,0.000005,7.893591,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1750090.318440,270.000000,8880021.819023,7.861474,-0.000002,7.861474,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1770174.587987,270.000000,9047067.384769,7.891827,-0.000002,7.891827,1.042387
3.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1690880.928590,270.000000,8443216.293411,7.715277,0.000001,7.715277,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1728974.416618,270.000000,8698528.529727,7.820599,-0.000014,7.820599,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1724710.335963,270.000000,8686681.351968,7.794374,-0.000005,7.794374,1.042387
4.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1572822.990045,270.000000,7605323.014474,7.431415,0.000000,7.431415,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1600667.345889,270.000000,7778990.416469,7.515287,-0.000014,7.515287,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1604123.353746,270.000000,7821355.272079,7.507766,-0.000001,7.507766,1.042387
5.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1494662.327601,270.000000,7065749.729156,7.237972,0.000005,7.237972,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1525657.895922,270.000000,7256008.608660,7.331607,-0.000012,7.331607,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1526423.247985,270.000000,7279343.539075,7.317548,-0.000002,7.317548,1.042387
6.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1429689.824826,270.000000,6628129.342097,7.072957,0.000005,7.072957,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1459244.049892,270.000000,6804258.850272,7.164711,-0.000010,7.164711,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1460516.039414,270.000000,6830504.176952,7.152064,-0.000002,7.152064,1.042387
7.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1378568.111960,270.000000,6289992.949253,6.940554,0.000006,6.940554,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1406946.097115,270.000000,6454912.643146,7.030717,-0.000008,7.030717,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1407986.596012,270.000000,6479062.483037,7.017621,-0.000002,7.017621,1.042387
8.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1336937.841502,270.000000,6018645.216368,6.830985,0.000008,6.830985,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1363486.941588,270.000000,6168648.134121,6.917653,-0.000006,6.917653,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1364601.226452,270.000000,6192715.562913,6.904910,-0.000002,6.904910,1.042387
9.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1303029.666984,270.000000,5800174.842385,6.740571,0.000010,6.740571,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1327668.182623,270.000000,5935426.602578,6.823271,-0.000005,6.823271,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1328799.072397,270.000000,5959048.956370,6.810736,-0.000003,6.810736,1.042387
10.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1275127.560713,270.000000,5622014.638108,6.665396,0.000013,6.665396,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1297605.486041,270.000000,5741453.708437,6.743243,-0.000005,6.743243,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1298802.075778,270.000000,5764994.059673,6.731041,-0.000004,6.731041,1.042387
11.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1252038.271549,270.000000,5475583.097293,6.602681,0.000015,6.602681,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1272275.943975,270.000000,5579248.238780,6.675236,-0.000005,6.675236,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1273533.390185,270.000000,5602718.499874,6.663347,-0.000004,6.663347,1.042387
12.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1232794.302472,270.000000,5354114.884171,6.550096,0.000017,6.550096,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1250714.338591,270.000000,5441986.884048,6.616945,-0.000005,6.616945,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1252027.845084,270.000000,5465413.787932,6.605343,-0.000004,6.605343,1.042387
13.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1216642.680590,270.000000,5252457.623197,6.505783,0.000018,6.505783,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1232249.663820,270.000000,5324994.896856,6.566747,-0.000005,6.566747,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1233597.954041,270.000000,5348299.182851,6.555358,-0.000004,6.555358,1.042387
14.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1202979.982576,270.000000,5166571.877208,6.468212,0.000018,6.468212,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1216306.550574,270.000000,5224341.943646,6.523214,-0.000005,6.523214,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1217668.612316,270.000000,5247446.931290,6.511962,-0.000003,6.511962,1.042387
15.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1191325.106408,270.000000,5093300.615336,6.436134,0.000017,6.436134,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1202444.037342,270.000000,5137058.018376,6.485235,-0.000005,6.485235,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1203798.754776,270.000000,5159880.398008,6.474045,-0.000003,6.474045,1.042387
16.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1181292.794208,270.000000,5030164.086605,6.408529,0.000016,6.408529,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1190296.276009,270.000000,5060715.700452,6.451869,-0.000005,6.451869,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1191625.914483,270.000000,5083185.250503,6.440678,-0.000003,6.440678,1.042387
17.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1172573.731192,270.000000,4975203.418192,6.384559,0.000014,6.384559,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1179571.378604,270.000000,4993404.577220,6.422357,-0.000005,6.422357,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1180862.897619,270.000000,5015469.260655,6.411118,-0.000003,6.411118,1.042387
18.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1164921.796704,270.000000,4926879.613102,6.363551,0.000013,6.363551,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1170028.979619,270.000000,4933572.473642,6.396061,-0.000006,6.396061,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1171277.268906,270.000000,4955218.837296,6.384755,-0.000003,6.384755,1.042387
19.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1158142.068631,270.000000,4883985.806297,6.344965,0.000012,6.344965,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1161474.471944,270.000000,4879974.236860,6.372461,-0.000006,6.372461,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1162680.879612,270.000000,4901222.498387,6.361087,-0.000002,6.361087,1.042387
20.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1152079.940595,270.000000,4845572.536844,6.328367,0.000011,6.328367,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1153749.929170,270.000000,4831605.085183,6.351132,-0.000006,6.351132,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1154917.299277,270.000000,4852483.713206,6.339694,-0.000001,6.339694,1.042387
21.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1146612.180798,270.000000,4810887.639981,6.313411,0.000011,6.313411,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1146726.172133,270.000000,4787647.821763,6.331722,-0.000006,6.331722,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1147857.311673,270.000000,4808185.337779,6.320225,-0.000001,6.320225,1.042387
22.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1141640.139542,270.000000,4779331.248460,6.299817,0.000010,6.299817,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1140295.635433,270.000000,4747426.367152,6.313938,-0.000006,6.313938,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1141394.442245,270.000000,4767657.023421,6.302389,-0.000000,6.302389,1.042387
23.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1137084.709071,270.000000,4750422.819651,6.287361,0.000010,6.287361,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1134368.455813,270.000000,4710379.152382,6.297533,-0.000006,6.297533,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1135440.777604,270.000000,4730347.086532,6.285946,0.000000,6.285946,1.042387
24.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1132882.500858,270.000000,4723776.526571,6.275862,0.000009,6.275862,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1128869.477330,270.000000,4676038.434290,6.282299,-0.000006,6.282299,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1129923.025451,270.000000,4695796.879404,6.270693,0.000000,6.270693,1.042387
25.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1128982.829038,270.000000,4699082.234086,6.265177,0.000009,6.265177,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1123736.039309,270.000000,4644015.081041,6.268061,-0.000006,6.268061,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1124779.349410,270.000000,4663620.513030,6.256460,-0.000000,6.256460,1.042387
26.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1125345.263161,270.000000,4676090.392697,6.255194,0.000009,6.255194,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1118915.806777,270.000000,4613984.411898,6.254675,-0.000006,6.254675,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1119957.182286,270.000000,4633490.641512,6.243102,-0.000001,6.243102,1.042387
27.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1121937.587072,270.000000,4654599.690076,6.245822,0.000010,6.245822,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1114365.124675,270.000000,4585675.562990,6.242019,-0.000006,6.242019,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1115411.918925,270.000000,4605129.680055,6.230493,-0.000001,6.230493,1.042387
28.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1118734.131694,270.000000,4634447.191342,6.236990,0.000010,6.236990,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1110047.519418,270.000000,4558861.984897,6.229992,-0.000006,6.229992,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1111105.850934,270.000000,4578302.754142,6.218531,-0.000002,6.218531,1.042387
29.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1115714.402588,270.000000,4615500.396336,6.228645,0.000010,6.228645,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1105932.445517,270.000000,4533353.551419,6.218508,-0.000006,6.218508,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1107007.018838,270.000000,4552810.558278,6.207125,-0.000002,6.207125,1.042387
30.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1112861.933082,270.000000,4597650.705391,6.220742,0.000011,6.220742,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1101994.200251,270.000000,4508989.797836,6.207497,-0.000006,6.207497,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1103088.396215,270.000000,4528484.179142,6.196201,-0.000002,6.196201,1.042387
31.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1110163.328060,270.000000,4580808.016279,6.213247,0.000011,6.213247,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1098211.059019,270.000000,4485634.574787,6.196898,-0.000006,6.196898,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1099327.070134,270.000000,4505180.030269,6.185697,-0.000002,6.185697,1.042387
32.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1107607.503674,270.000000,4564896.442948,6.206131,0.000011,6.206131,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1094564.577752,270.000000,4463171.778480,6.186661,-0.000006,6.186661,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1095703.555771,270.000000,4482775.622528,6.175557,-0.000002,6.175557,1.042387
33.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1105185.114491,270.000000,4549851.093812,6.199372,0.000011,6.199372,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1091039.022654,270.000000,4441501.891269,6.176742,-0.000006,6.176742,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1092201.192648,270.000000,4461165.859357,6.165736,-0.000001,6.165736,1.042387
34.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1102888.138843,270.000000,4535615.735034,6.192950,0.000012,6.192950,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1087620.885301,270.000000,4420539.061776,6.167104,-0.000006,6.167104,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1088805.596315,270.000000,4440259.686027,6.156195,-0.000001,6.156195,1.042387
35.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1100709.581623,270.000000,4522141.097413,6.186847,0.000012,6.186847,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1084298.464337,270.000000,4400208.597282,6.157717,-0.000006,6.157717,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1085504.214998,270.000000,4419977.399308,6.146899,-0.000000,6.146899,1.042387
36.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1098643.256975,270.000000,4509383.609943,6.181049,0.000012,6.181049,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1081061.495915,270.000000,4380444.752429,6.148551,-0.000006,6.148551,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1082286.000172,270.000000,4400248.661435,6.137819,0.000000,6.137819,1.042387
37.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1096683.616530,270.000000,4497304.362691,6.175541,0.000011,6.175541,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1077900.828291,270.000000,4361188.783127,6.139583,-0.000006,6.139583,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1079141.144917,270.000000,4381010.929766,6.128927,0.000000,6.128927,1.042387
38.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1094825.602243,270.000000,4485868.182656,6.170312,0.000011,6.170312,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1074808.154885,270.000000,4342387.348722,6.130789,-0.000006,6.130789,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1076060.891492,270.000000,4362208.300368,6.120200,0.000001,6.120200,1.042387
39.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1093064.535374,270.000000,4475042.902351,6.165349,0.000011,6.165349,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1071775.806813,270.000000,4323991.266818,6.122150,-0.000006,6.122150,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1073037.290615,270.000000,4343790.054617,6.111616,0.000001,6.111616,1.042387
40.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1091396.044705,270.000000,4464798.848694,6.160642,0.000011,6.160642,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1068796.594205,270.000000,4305954.557687,6.113645,-0.000006,6.113645,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1070062.940003,270.000000,4325709.079653,6.103155,0.000002,6.103155,1.042387
41.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1089816.020467,270.000000,4455108.480024,6.156179,0.000011,6.156179,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1065863.692977,270.000000,4288233.757939,6.105255,-0.000006,6.105255,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1067130.859958,270.000000,4307921.108008,6.094798,0.000002,6.094798,1.042387
42.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1088320.585529,270.000000,4445946.127873,6.151950,0.000011,6.151950,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1062970.562418,270.000000,4270787.416244,6.096964,-0.000006,6.096964,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1064234.432024,270.000000,4290384.335787,6.086527,0.000002,6.086527,1.042387
43.000000,270.000000,0.330000,0.000000,0.000000,0.000000,1086906.080797,270.000000,4437287.829673,6.147947,0.000010,6.147947,1.042787,270.000000,0.330000,0.000000,0.000000,0.000000,1060110.896323,270.000000,4253575.787605,6.088754,-0.000006,6.088754,1.046593,270.000000,0.330000,0.000000,0.000000,0.000000,1061367.352737,270.000000,4273059.130780,6.078324,0.000002,6.078324,1.042387
